,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth ,Money,Other
194004,1.45,-0.55,0.6,0.05,0.67,-2.44,0.33,-1.8,-0.5,-0.35,-0.94,-0.77
194005,-21.33,-27.57,-24.21,-25.53,-20.04,-21.36,-14.16,-20.62,-24.84,-21.8,-26.34,-24.16
194006,4.85,8.51,2.92,5.46,4.27,3.57,7.23,16.86,8.6,4.27,4.83,8.63
194007,-0.43,5.9,4.79,2.94,3.02,5.63,1.97,-0.31,4.2,-0.57,4.33,2.83
194008,0.88,5.56,2.43,0.64,1.27,2.39,-0.38,-1.75,2.13,-2.91,2.32,2.43
194009,1.99,3.01,4.27,-2.45,3.02,3.65,0.29,-2.63,2.95,3.99,-1.6,2.75
194010,-1.78,3.92,7.62,6.13,-1.82,2.17,1.61,3.35,-0.07,-3.04,6.26,4.93
194011,-1.91,-2.39,-0.42,-0.29,-5.22,-5.52,0.54,-13.8,-3.21,-2.48,-0.12,-1.75
194012,-0.11,-3.61,-0.42,1.84,1.49,-0.34,0.71,1.24,-0.43,-0.95,-5.1,0.09
194101,-0.86,-9.24,-7.53,-2.23,-6.44,-2.3,-2.1,-2.8,-3.82,-2.24,-1.77,-1.84
194102,-3.08,-0.25,-2.26,-1.29,-3.22,-0.47,-2.26,-1.79,-3.39,-5.4,-0.66,-0.8
194103,0.02,-1.85,-0.34,3.52,1.66,-1.02,0.39,-4,0.76,1.08,-1.28,1.64
194104,-4.52,-10.59,-7.12,1.28,-4.09,-8.91,-6.35,-10.05,-5.65,-5.26,-7.51,-3.77
194105,-1.97,-1.81,2.74,4.26,2.49,-0.53,0.38,-5.18,1.67,-2.32,-2.42,-1.18
194106,5.67,3.66,5.62,5.02,6.95,9.62,3.53,2.94,4.65,5.97,2.08,3.47
194107,5.14,3.88,7.65,10.78,5.51,1.18,-0.39,4.74,4.53,7.97,7.13,7.2
194108,0.31,0.23,-1.68,-4.03,-0.87,0.63,1.04,-2.82,1.65,-0.57,0.17,-0.34
194109,1.27,3.93,-3.53,-0.84,-2.37,-2.36,-1.16,-3.51,0.03,-0.41,-0.84,-3.83
194110,-7.43,-8.04,-7.19,2.04,-6.14,-10.85,-2.72,-10.2,-5.37,-4.21,-6.09,-3.82
194111,-4.06,-6.12,-3.76,1.14,-0.58,-3.46,-4.1,-7.38,-5.65,-3.64,-2.89,-3.07
194112,-4.78,-12.21,0.05,-11.42,-0.52,-2.21,-10.13,-8.3,-10.81,-1.96,-9.73,-6.19
194201,2.14,6.23,1.17,-1.72,-7.83,1.95,-1.37,3.29,0.36,-3.56,5.19,10.25
194202,-6.06,3.77,-1.71,-6.48,-5.44,-2.81,-0.59,-3.27,-2.73,-6.16,-0.16,-2.72
194203,-8.96,1.22,-5.19,-8.43,-7.99,-6.62,-8.68,-12.99,-7.74,-5.79,-7.4,-10.38
194204,-4.58,-4.38,-6.53,-3.7,-1.57,-3.5,-7.32,-4.24,-6.29,-4.97,-1.9,-2.5
194205,8.17,8.6,-0.24,5.37,3.7,7.41,7.69,7.58,11.08,13.81,8.35,1.67
194206,2.9,1.52,2.47,4.19,4.3,2.69,-4.17,0.8,1.84,2.61,-0.02,0.76
194207,2,1.96,3.31,5.78,1.21,1.84,4.48,-1.12,4.79,1.15,4.91,6.37
194208,0.3,1.19,0.22,2.91,0.58,1.5,2.46,0.12,0.88,1.8,1.45,1.96
194209,-0.62,2.42,2.43,2.16,3.93,3.63,0.2,4.84,0.06,0.06,0.87,2.98
194210,4.08,5.79,6.3,9.53,6.39,6.97,6.19,14.45,0.47,3.7,9.24,8.54
194211,1.92,-1.33,-5.2,-0.47,0.05,1.23,2.57,-1.97,5.36,1.02,1.74,-4.92
194212,3.93,7.91,4.22,7.1,4.78,5.18,-1.32,3.51,1.86,8.4,3.46,2.64
194301,8.82,5.22,8.2,6.32,4.57,10.85,3.78,14.13,6.74,2.09,6.17,6.92
194302,3.14,6.63,5.51,7.41,2.58,4.4,8.79,7.3,2.36,3.16,8.55,9.18
194303,3.91,4.84,7.82,6.85,2.1,6.79,-0.9,4.04,8.15,4.29,8.79,9.54
194304,0.65,0.51,-1.9,0.89,-0.79,1.19,4.16,3.56,1.58,1.05,1.5,2.22
194305,6.15,5.72,3.94,4.86,6.16,6.26,4.55,3.99,7.02,4.68,8.52,4.34
194306,1.66,4.72,0.65,1.04,-0.18,2.56,0.84,3.7,5.18,0.3,-1.25,-1.89
194307,-2.18,-9.72,-7.11,-3.01,-6.22,-8.24,-0.18,-0.87,-3.26,-3.61,-4.53,-5.63
194308,0.59,2.65,-0.25,0.58,0.31,0.8,0.9,1.53,3.15,-0.19,0.95,1.09
194309,1.71,1.56,2.21,1.27,2.32,4.78,0.03,3.11,1.7,3.8,0.95,1.77
194310,-0.57,-1.14,-0.3,-2.12,-2.18,-3.71,0.73,0.34,-2.5,0.15,-1.13,-1.24
194311,-5.29,-6.23,-8.66,-8.06,-5.06,-6.98,-1.8,-8.69,-5.48,-4.4,-7.46,-9.82
194312,5.58,7.76,6.66,6.74,2.86,7.17,1.72,6.84,6.23,3.56,6.65,5.75
194401,3.62,1.01,2.49,0.55,0.49,0.83,0.86,-0.74,0.63,-0.04,0.73,5.07
194402,-0.95,2.52,-0.59,-0.37,-1.39,-2.96,0.86,1.18,0.45,-3.12,0.12,2.16
194403,2.38,4.63,1.84,1.73,1.95,3.26,-0.63,1.2,1.87,2.24,2.93,1.86
194404,-2.25,-1.2,-2.51,-1.45,-1.92,-1.32,-0.57,-1.3,-1.27,-2.69,-3.16,-2.35
194405,4.87,6.83,5.52,3.94,3.94,3.12,2.81,1.65,4.66,5.18,3.71,3.68
194406,5.25,9.19,7.33,0.38,5.02,7.45,1.87,4.36,5.45,3.68,7.12,4.46
194407,-0.65,-4.94,-1.94,-1.39,-2.3,-1.75,-0.37,-0.14,-0.2,-1.56,-1.71,-0.82
194408,2.19,3.04,2.17,-2.54,0.16,1.92,0.65,3.02,2.58,0.27,1.79,-0.32
194409,-0.62,0.5,0.23,-1.5,0.07,-1.16,-1.05,-1.81,1.45,0.26,-0.6,-0.35
194410,-0.33,-2.75,-0.67,1.76,0.3,0.5,0.75,0.79,0.35,0.7,-0.53,0.76
194411,0.61,1.16,0.54,0.98,-1.12,1.29,0.65,-0.84,1.92,-0.15,0.6,3.55
194412,1.67,3.82,4.73,4.87,1.65,3.81,-0.6,2.65,1.58,1.54,1.46,8.96
194501,2.29,1.36,2.73,4.84,2.22,1.03,-2.11,5.29,-0.04,0.27,3.27,-0.17
194502,3.58,6.72,6.98,6.91,5.05,6.98,2.83,5.79,4.01,3.78,7.26,7.59
194503,-3.39,-6.15,-5.58,-5.44,-3.99,-4.69,-1.43,-3.65,-1.69,-2.02,-4.26,-3.84
194504,6.82,11.13,8.52,6.81,7.5,8.6,2.51,9.66,6.93,6.04,6.01,9.31
194505,1.94,-0.03,0.2,-1.68,0.05,2.01,3.74,1.36,5.88,3.67,0.89,2.49
194506,0.54,-1.64,0.67,-0.69,-2.6,-2.63,1.36,4.89,-3.46,-4.83,2.65,4.35
194507,-1.69,-1,-3.42,-3.42,-2.55,-1.37,2.18,-0.65,-0.22,-1.88,-3.69,-6.04
194508,7.38,8.59,7.91,1.72,8.79,9.89,1.72,0.59,7.74,8.72,8.83,0.85
194509,5.96,2.65,6.04,1.81,5.82,2.15,0.7,6.3,5.34,6.37,1.38,6.7
194510,6.53,0.19,3.61,6.23,0.25,-0.7,2.36,5.67,5.86,6.32,7.25,5.31
194511,3.18,1.82,4.6,7.15,2.65,2.83,3.35,4.31,6.28,8.01,4.48,8.9
194512,1,2.43,0.93,-0.44,2,1.71,-0.64,-1.19,3.09,1.39,3.83,-1.13
194601,4.59,6.67,9.39,-0.16,5.25,5.79,1.91,10.56,10.81,7.56,7.35,7.16
194602,-5.11,-9.6,-7.35,-5.07,-5.22,-6.97,-2.84,-6,-4.58,-4.66,-7.64,-6.1
194603,6.08,0.9,4.89,10.93,6.96,0.37,0.04,5.87,11.17,14.41,5.28,3.83
194604,3.29,1.41,3.57,8.7,5.71,0.94,1.59,4.01,6.94,14.5,0.83,1.8
194605,3.02,4.59,4.94,2.93,3.37,5.94,2.81,2.62,1.58,5.23,3.95,2.77
194606,-3.84,-5.98,-4.35,-3.28,-3.28,-5.16,-0.79,-2.99,-7.9,-5.64,-3.34,-3.69
194607,-1.02,-4.76,-3.82,-0.22,-2.36,-3.43,-0.08,-3.83,-3.2,-3.42,-4.84,-5.26
194608,-5.58,-10.9,-7.2,-6.04,-6.52,-8.14,-7.02,-5.73,-5.24,-3.69,-6.69,-7.19
194609,-10.98,-14.96,-11.33,-8.21,-9.07,-10.72,-5.91,-9.13,-7.2,-7.23,-13.99,-14.98
194610,0.02,-3.32,-1.3,-0.8,-3.53,-3.1,-5.13,1,-2.42,-0.48,-1.54,-0.38
194611,-1.92,-1.97,0.23,-0.31,2.6,-3.95,1.75,0.3,-6.02,0.85,-0.18,-0.71
194612,3.09,5.97,5.49,3.88,6.68,4.18,2.48,5.82,3.08,6.86,7.14,0.8
194701,-0.12,10.87,1.59,-0.74,-0.89,6.33,1.03,-0.45,0.37,-5.52,1.83,-0.07
