This file was created by CMPT_IND_RETS using the 202403 CRSP database.
It contains value- and equal-weighted returns for 12 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth ,Money,Other
192810,   0.90,   0.08,   3.91,   2.04,   5.11,   1.98,   2.97,  -1.89,   5.90,   0.05,   2.61,  -0.72
192811,   6.62,   4.51,  12.74,  17.23,  12.89,  21.68,   6.68,  21.93,  15.29,   5.05,   9.94,   9.96
192812,  -0.52,  -1.22,   3.26,  -4.36,   1.93,   8.18,  -0.38,   1.57,  -1.32,  -0.41,   1.06,   0.34
192901,   3.38,   1.30,   7.07,  -7.59,  21.78,  11.54,  13.38,  13.17,  -3.88,   3.43,   8.12,   5.31
192902,  -2.62,  -0.03,   4.82,  -0.10,  -0.58,  -0.94,  -1.15,  -1.99,  -2.41,   0.05,   0.83,  -0.06
192903,  -4.63,  -1.88,  -1.28,  11.03,  -3.56,   5.29,   4.29,  -3.17,  -5.13,  -1.50,  -1.15,  -2.27
192904,   1.80,  -0.98,   1.77,   0.74,   3.61,   1.91,   3.39,   5.13,   3.75,   1.48,   0.51,   0.45
192905,  -3.94, -15.05, -10.44,  -5.57,  -7.22,   0.69,  -8.77,   4.80,  -8.65,  -7.84,  -3.23,   0.32
192906,   5.36,   7.01,  11.01,   1.14,  19.59,  18.18,  13.70,  23.47,   9.47,   4.52,   6.30,   5.70
192907,   3.23,  -2.95,   3.91,   0.16,   4.83,   9.42,  13.68,   9.14,   1.04,   2.59,   8.36,   6.27
192908,   4.77,   3.00,   9.08,  11.36,  10.92,  12.36,  10.98,   9.05,   7.79,   3.09,   5.82,   8.06
192909,  -3.60,  -8.35,  -7.16,  -2.95,  -6.26,  -8.34,  -1.37,   1.32,  -5.47,  -7.02,  -5.75,  -6.49
192910, -10.64, -28.94, -17.19, -10.07, -24.79, -29.57, -15.39, -30.04, -23.97, -18.02, -28.84,  -9.15
192911,  -8.44, -17.31, -13.50,  -6.42, -16.13, -19.70,  -9.47, -14.64, -12.34,  -7.90, -13.88,  -9.06
192912,   0.64,   4.90,   0.10,  -1.18,   5.82,  11.87,   1.01,   7.94,  -6.03,   1.11,  -0.40,  -0.50
193001,   5.70,   5.95,   6.43,  -0.76,   8.53,  10.77,   1.20,   7.25,   4.69,   2.55,   9.74,   4.34
193002,   2.15,   2.44,   2.61,  -4.49,   2.11,   7.23,   7.06,   8.57,  -5.13,   3.15,   5.85,   2.94
193003,   2.11,  11.37,   5.92,  17.94,   9.96,   8.00,   8.79,   9.72,  -2.44,   5.99,   8.74,   4.35
193004,   0.54,  -7.81,  -7.68,   6.55,  -4.96,   1.59,  -4.52,   3.34,   2.63,  -1.27,  -4.08,  -6.74
193005,   1.36,   4.12,  -1.54,  -3.73,  -2.43,  -4.58,   0.40,  -1.33,  -0.17,  -1.49,  -5.71,  -0.32
193006, -11.04, -22.27, -15.85, -15.47, -17.83, -20.18,  -8.34, -19.06, -16.26, -13.34, -21.44, -10.46
193007,   3.14,  12.10,   4.29,   5.18,   5.71,   4.14,   1.27,   4.06,   2.70,   6.52,   4.42,   3.29
193008,   1.98,  -1.89,  -1.34,  -3.20,   3.87,   1.74,   1.74,   1.18,   4.96,   7.71,   1.26,  -0.64
193009,  -8.96, -16.73, -13.80, -15.46, -13.15, -19.11,  -5.27, -11.92, -10.91,  -8.70, -18.09,  -9.33
193010,  -4.85, -11.64,  -9.68,  -8.37, -10.71, -18.07,  -4.12,  -8.28,  -8.61,  -4.37, -15.34,  -7.46
193011,   0.18,   5.37,  -0.52,  -3.72,  -0.36,  -3.50,  -3.27,  -8.74,   2.74,  -3.23,  -8.32,  -4.76
193012,  -4.59,  -1.26,  -9.92, -12.32,  -4.73, -10.58,  -3.80,  -3.69, -13.44,  -6.79, -12.42,  -8.35
193101,   5.40,   8.02,   4.64,   5.31,   1.19,   5.19,   4.79,   5.53,   7.19,   8.23,  18.59,  11.09
193102,   6.81,  17.37,  13.42,   5.77,  11.70,  23.61,   5.95,  15.27,  14.79,   7.81,  17.06,   3.99
193103,  -1.69,  -3.81,  -6.98, -14.26,  -6.29,  -7.87,  -3.58,  -2.94,  -3.27,   1.80,  -8.48,  -9.53
193104,  -5.29,  -7.87, -15.12, -13.45, -10.72, -14.21,  -4.25,  -9.04,  -4.84,  -3.62, -15.19,  -9.11
193105, -11.01, -16.08, -18.61, -12.54, -11.73, -12.37,  -8.94, -11.15,  -3.27, -10.26, -18.93, -17.18
193106,  10.73,  14.63,  17.57,  17.57,  16.78,  19.14,  10.21,  11.00,   7.86,   9.69,  23.38,  15.25
193107,  -3.81,  -2.10, -12.63,  -3.63,  -5.24, -10.63,  -4.87,  -5.39,  -1.53,   2.61,  -8.72, -10.10
193108,  -0.65,  -2.78,  -0.36,   9.48,   0.83,   3.55,   0.82,  -1.74,   3.02,   0.39,   0.38,  -4.94
193109, -24.69, -34.80, -28.84, -29.84, -31.43, -34.65, -21.56, -33.05, -30.24, -29.45, -39.89, -23.37
193110,   6.89,  12.96,   5.82,  14.02,   7.30,  11.58,   4.34,  10.48,  13.97,  11.26,  11.97,   0.05
193111,  -4.35,  -3.49,  -9.97,  -8.69,  -5.67, -14.51,  -6.86,  -4.77,  -9.40,  -2.79, -11.10, -20.83
193112,  -9.51,  -8.78, -19.89, -18.91,  -6.76, -13.75,  -7.94, -13.24, -15.17,  -4.10, -20.97, -15.49
193201,   2.06,  -6.90,   1.79,  -4.86,  -4.32, -12.71,  -4.04,  -2.52,   0.79,  -2.66,   3.84,   7.42
193202,   5.37,   2.09,   4.56,   8.75,   7.35,   7.71,  11.63,   7.04,   4.11,   2.05,  13.57,  -3.18
193203,  -5.98, -22.18, -14.69,  -1.10, -12.80, -15.95,  -9.90,  -9.57,  -9.27,  -6.41, -15.18, -16.15
193204, -11.35, -29.53, -20.66, -13.94, -27.72, -22.52, -12.39, -15.50, -15.71, -19.77, -19.22, -23.13
193205, -21.22, -18.59, -21.27,  -5.56, -12.90, -30.20, -10.81, -26.82, -29.28, -34.08, -30.34, -29.93
193206,   1.16,  -7.82,   1.25,   5.94,  -7.98,   7.99,  -9.55,   1.45,  -0.59,  11.05,   6.28,  -4.13
193207,  24.70,  44.95,  46.64,  35.13,  30.16,  49.48,  16.70,  29.35,  27.11,  29.18,  51.98,  56.97
193208,  22.71,  45.25,  52.18,  19.49,  33.17,  48.24,  28.17,  43.46,  32.91,  35.87,  59.10,  58.54
193209,  -0.86,   8.50,  -5.62, -10.16,   4.74,  -6.11,   0.24,  -4.65,   3.06, -11.92,  -6.85,  -3.38
193210, -11.41, -24.75, -15.92,  -3.79, -14.72, -20.63,  -8.13, -10.82, -12.68, -18.56, -17.08, -18.23
193211,  -7.10,  -2.71, -13.95,  -4.53,  -2.45,  -8.84,  -1.12,  -3.60,  -5.61,   5.53,  -3.39,  -7.87
193212,   3.81,   4.47,  -0.51,   0.05,  10.70,   6.87,   3.67,   9.12,   5.00,   6.82,   8.91,   3.72
193301,   4.66,   0.83,   4.73,  -3.01,   1.69,   0.60,   0.31,  -4.38,  -2.40,  -1.13,   1.51,  10.66
193302,  -9.06, -24.48, -17.41, -13.90, -17.25, -21.28,  -7.77, -19.85, -17.96, -10.82, -20.16, -15.37
193303,  10.37,   9.23,  13.76,   4.39,   6.41,   6.64,  -5.85, -12.79,   8.53,  -3.16,  -6.84,   6.56
193304,  34.17,  79.79,  60.17,  38.99,  48.60,  58.59,  13.22,  25.36,  42.45,  37.13,  42.90,  28.03
193305,  12.71,  26.05,  25.78,  17.71,  25.97,  19.80,  17.37,  19.29,  17.06,  23.49,  26.14,  32.92
193306,  10.34,  20.75,  13.10,  12.50,  10.60,  11.38,  10.50,  15.58,  16.26,  10.39,  18.44,  13.54
193307,  -6.61,  -7.05, -12.17, -12.05,  -9.47, -11.48,  -4.36, -13.58, -13.46, -19.11, -12.38,  -5.18
193308,   9.86,  20.76,  14.39,  19.07,  19.23,  13.30,   4.53,  -1.23,   7.15,  -0.38,   9.20,  15.84
193309,  -7.45, -15.32, -10.99,  -2.69,  -8.23, -18.41,  -3.56, -19.74,  -8.74,  -1.31, -16.87, -16.28
193310,  -9.12, -10.06,  -9.87,  -4.85,  -4.64, -10.11,  -7.18,  -7.50,  -7.83,  -6.02, -13.10, -10.43
193311,   5.21,  25.38,  11.63,  14.69,  14.42,  13.20,   5.63,  -2.39,  14.45,   9.40,   6.55,   5.09
193312,  -3.39,  10.45,   4.34,  -1.20,   5.04,   1.07,  -3.75,   1.05,   4.57, -11.73,   3.50,   4.96
193401,  10.02,  13.20,  14.65,   8.72,   5.12,  16.95,   5.97,  20.52,  17.30,  16.77,  23.89,  17.46
193402,  -4.98,  -2.06,  -3.36,  -3.38,  -2.47,  -7.40,   2.12,  -1.69,   3.03,  -3.59,  -1.79,  -1.90
193403,   1.17,  -0.30,  -1.03,  -1.33,  -1.81,   4.21,   1.27,  -1.80,   2.40,  -0.64,   0.66,   0.85
193404,   3.10,  -6.85,  -2.33,  -1.99,  -2.76,  -3.72,  -1.25,  -3.75,  -1.21,   8.00,  -1.01,  -1.73
193405,  -3.00, -12.82, -11.29,  -4.63,  -6.76,  -8.13,  -4.30,  -7.73,  -7.92,  -0.38,  -8.33,  -7.15
193406,   3.85,  -2.75,   3.85,   1.20,   4.83,   2.75,   1.32,   4.26,   2.43,   2.04,   5.10,   2.68
193407,  -5.12, -13.83, -14.69,  -9.73,  -5.18, -13.90,  -4.34, -17.24,  -8.35,  -1.89, -14.78, -17.97
193408,   4.22,  10.87,   8.00,   6.12,   6.32,   7.36,   2.56,   2.04,   4.72,  -3.05,   5.63,   4.11
193409,   0.24,   0.68,  -1.93,  -2.32,   0.32,  -0.58,   1.90,   1.61,   2.55,   0.80,  -2.39,   0.14
193410,   0.61,  -2.08,  -1.11,  -4.69,   1.13,  -2.26,  -1.56,  -7.61,   1.68,  -0.71,   1.89,  -3.19
193411,   8.50,  17.61,  14.58,   7.03,   9.08,  15.05,  -1.73,  -0.25,   9.61,   4.07,   8.70,   4.88
193412,  -0.94,   3.56,   3.65,   0.68,  -0.18,   4.12,  -0.59,  -8.66,  -1.04,   0.62,   1.43,  -0.61
193501,  -1.40,  -9.03,  -3.17,  -4.37,  -0.85,   1.26,  -0.46,  -3.16,  -5.27,  -0.86,  -4.96,  -7.18
193502,   1.61,  -3.27,  -2.95,  -3.35,   0.92,  -1.19,   1.04, -12.16,  -0.62,   4.25,  -1.66,  -5.52
193503,  -4.63,  -5.82,  -5.25,  -3.82,  -3.60,  -4.98,  -0.72,  12.34,  -4.33,  -3.14,  -1.85,  -6.33
193504,   5.73,   5.73,   9.85,  15.48,   8.26,   9.15,   9.13,  11.14,   6.47,   3.18,   6.30,   9.47
193505,   1.09,   2.96,   1.44,   3.51,   2.44,   3.02,   8.38,  13.76,   2.53,  -4.02,   5.71,   3.36
193506,   5.51,   9.78,   6.94,   1.51,   5.84,   8.81,   5.35,   9.11,   6.28,   4.09,   7.33,   6.04
193507,   3.14,  19.08,  13.75,   0.13,   5.10,  11.56,   5.74,   9.22,   7.51,   3.19,   7.99,   7.04
193508,  -1.56,   9.01,   2.35,  -1.89,   4.41,   3.82,   4.07,   7.21,   3.09,   0.29,   5.66,   2.73
193509,   1.69,  11.09,   3.21,  -3.33,   6.12,   7.97,   4.28,  -2.03,  -0.57,   1.11,  -1.81,   1.39
193510,   4.48,  13.63,   7.44,  13.52,   3.38,   9.28,   3.11,  14.13,   1.22,   5.97,   7.99,   0.71
193511,   1.10,   3.49,   5.85,   2.78,   1.63,   7.50,   9.72,   0.82,   2.92,   1.74,  12.70,  13.41
193512,   2.08,   5.80,   4.69,  14.09,   1.41,   4.38,  -0.16,   5.62,  -1.02,   2.35,   5.47,   3.91
193601,   3.24,   3.89,   5.83,  14.06,   4.77,   7.34,   4.17,  12.53,  -2.81,   3.46,   6.52,  14.04
193602,   0.61,   3.74,   7.15,   1.26,   2.35,   0.13,   6.57,  -6.59,   0.99,   3.45,  -0.82,   3.93
193603,  -2.08,  10.19,   2.47,   1.75,   2.67,  -0.91,  -3.37,   0.64,   1.14,   3.52,  -2.28,  -3.14
193604,  -4.45, -10.15,  -9.98, -10.28,  -6.77,  -8.91,  -5.66,  -8.34,  -5.24,  -9.19,  -7.55,  -7.36
193605,   4.96,   4.06,   6.45,  -0.57,   5.45,   5.57,   6.46,   9.52,   6.70,   4.80,  13.03,   5.73
193606,   2.32,   6.86,   0.02,   1.73,   4.03,   0.61,   2.43,   3.62,   5.29,   1.29,   3.66,   1.14
193607,   2.97,   4.91,   7.37,   4.74,   8.15,  12.98,   2.44,  11.59,   6.21,   4.65,   7.18,  10.48
193608,   0.84,  -0.28,   3.01,  -0.67,  -1.12,   3.04,   1.76,  -1.03,   2.49,  -1.48,   0.22,   2.38
193609,  -0.66,   3.26,   1.87,   1.39,   1.91,  -0.91,   0.33,  -2.05,   2.94,   0.77,   2.31,   0.44
193610,   3.37,   5.08,   8.22,  12.48,   6.26,   6.37,   5.09,   5.72,  11.22,   3.78,   5.48,   8.96
193611,   4.53,  -1.37,   5.91,   1.48,   4.53,   5.51,   3.87,  -2.86,  11.00,   3.40,   5.98,  -1.27
193612,  -1.42,  -7.24,   3.52,   9.24,  -1.51,   3.25,  -0.40,  -1.63,  -8.14,  -2.04,  -2.63,  -0.68
193701,   2.45,   7.27,   5.14,   2.41,   2.76,  10.24,  -0.85,   2.61,   0.07,   3.47,   0.47,   1.22
193702,   0.89,  -0.50,   4.29,   1.49,  -0.89,  -1.56,  -3.06,  -4.19,   3.06,  -3.72,  -0.37,   6.44
193703,  -1.01,  -4.13,   2.74,   3.39,  -2.01,  -4.74,  -2.09,  -6.32,  -2.73,  -5.03,  -3.63,   4.62
193704,  -6.38,  -7.90, -11.26,  -5.30,  -4.07,  -7.79,  -5.25,  -7.47,  -7.24,  -3.32,  -6.85,  -6.83
193705,  -0.44,  -1.97,   1.09,  -0.24,   1.69,  -0.56,   1.53,  -5.27,  -4.54,   1.68,  -3.31,  -3.35
193706,  -3.24, -10.77,  -3.64,  -2.66,  -3.16,  -1.80,   1.39,  -5.26,  -1.59,  -4.12,  -4.92, -10.07
193707,   5.07,  13.23,  10.73,   8.42,   5.41,  10.27,   3.27,  19.32,  10.33,   4.14,  16.25,   6.30
193708,  -2.47,  -2.27,  -4.74,  -6.57,  -3.02,  -5.81,  -2.54, -10.18,  -4.27,   1.09, -15.06,  -5.96
193709,  -9.12, -12.67, -20.36, -13.21,  -9.60, -15.44,  -2.10, -11.75, -14.10, -10.76, -14.62, -16.35
193710,  -7.06, -12.88, -14.65,  -6.95, -11.37,  -7.70,  -5.36,  -4.88,  -7.04,  -3.55,  -8.34, -10.70
193711,  -5.86, -15.24,  -9.25, -11.48,  -9.39,  -3.92,  -3.59,   2.90, -14.36,  -5.12,  -7.40,  -6.69
193712,  -2.27, -16.27,  -3.41,  -1.25,   0.41,  -3.55,  -1.54, -10.69,  -6.55,  -2.41,  -6.99,  -6.51
193801,   2.96,  11.05,  -1.35,   0.51,  -0.99,  -2.74,  -2.43,  -5.70,   5.92,   3.52,  -0.21,   0.72
193802,   3.46,   3.47,   8.75,   9.42,   7.39,   5.37,  -2.32,   3.64,   9.50,   8.61,   6.67,   4.31
193803, -15.79, -27.35, -27.34, -25.20, -22.22, -28.81, -17.44, -19.61, -22.19, -14.44, -25.20, -31.27
193804,  12.27,  14.85,  17.53,  15.92,   8.23,  16.00,  13.47,  14.78,  16.18,  11.82,  16.55,  13.83
193805,  -0.23,  -6.92,  -8.52,  -5.82,  -3.25,  -3.14,   0.83,   2.21,  -3.86,   1.71,  -5.12,  -3.53
193806,  13.20,  36.01,  34.94,  21.98,  27.55,  29.00,  12.42,  16.90,  24.03,  10.07,  26.37,  24.33
193807,   6.61,  19.89,   6.93,   7.38,   6.29,   6.10,   1.28,   0.68,   9.06,   5.80,   8.92,  10.36
193808,  -4.02,   5.97,  -3.11,  -8.82,   0.22,  -0.83,   0.28,  -5.53,  -2.40,   0.36,  -4.07,  -3.61
193809,   0.51,   0.69,   1.27,   0.82,   2.49,   1.45,   0.85,   1.23,   0.06,  -0.01,   0.05,  -1.67
193810,   5.15,   6.49,  12.14,  -1.56,   7.17,  11.12,   3.56,  21.09,   8.04,   5.63,   9.42,  11.65
193811,  -2.49,  -1.20,  -1.83,  -0.11,  -0.63,  -4.95,   0.65,  -7.01,  -0.37,   1.44,  -1.43,  -2.19
193812,   2.76,   2.12,   5.68,   4.86,   5.20,   3.01,   2.57,   3.95,   1.03,   0.85,   0.86,   8.08
193901,  -1.92,  -8.33, -10.99,  -6.29,  -5.81,  -7.78,   1.81,   1.21,  -3.14,  -0.96,  -6.10,  -9.41
193902,   2.46,   7.06,   3.83,  -1.18,   1.11,   3.45,   3.53,   8.78,   6.20,   3.72,   4.27,   4.82
193903,  -5.75, -17.63, -19.26,  -8.31,  -7.60, -16.96,  -2.21, -13.63,  -9.59,  -4.33, -11.94, -15.90
193904,   0.62,   0.72,  -1.90,  -1.06,  -1.34,  -1.14,   2.75,   3.03,  -0.13,   1.00,  -3.28,  -1.35
193905,   5.47,   7.89,   8.92,   2.55,   6.19,   7.14,   5.56,   6.61,  11.38,   5.49,   8.92,   7.77
193906,  -2.04,  -6.78,  -8.69,  -6.12,  -2.32,  -8.79,  -3.79,  -3.55,  -2.70,   1.10,  -5.33,  -8.37
193907,   6.22,  17.58,  14.38,   3.03,  10.08,  15.38,   6.51,  12.71,   8.71,   3.08,  11.07,  11.72
193908,  -7.36,  -6.94,  -9.12,  -3.91,  -2.68,  -9.09,  -4.19,  -6.01,  -7.33,  -5.43,  -9.36, -10.18
193909,   4.79,  23.72,  32.37,  25.56,  15.69,  15.99,   2.37,   3.60,   1.59,   7.07,  12.30,  29.93
193910,   3.26,  -1.40,  -2.31,  -3.93,  -2.42,  -1.81,   3.05,   2.11,   5.77,   0.21,  -0.06,  -2.01
193911,  -0.47,  -2.92,  -7.70,  -6.14,  -2.38,  -3.35,   0.97,  -1.49,  -2.31,   1.22,  -0.42,  -6.34
193912,   3.17,   3.88,   3.48,  -0.08,   4.59,   3.92,   2.87,   2.95,   3.03,   3.77,   2.80,   2.28
194001,   1.69,  -3.83,  -6.24,  -2.19,  -1.96,  -4.27,  -0.12,  -0.05,  -0.95,  -1.79,   0.59,  -3.63
194002,   0.94,   2.08,   2.32,   0.97,   2.53,   0.40,   1.04,  -1.24,   2.51,   1.48,   0.41,   1.02
194003,   1.65,   3.78,   1.14,   1.72,   2.12,   3.38,   1.16,   1.74,   3.08,   1.90,   2.50,   2.67
194004,   1.75,  -0.54,   0.84,   0.18,   0.86,  -2.38,   0.33,  -1.35,  -0.13,  -0.31,  -0.90,  -0.72
194005, -20.91, -26.04, -23.73, -24.47, -19.59, -21.19, -14.13, -19.94, -24.41, -21.21, -26.24, -23.38
194006,   5.38,   8.68,   3.40,   5.67,   4.62,   4.46,   8.72,  17.43,   9.01,   4.91,   6.58,   9.17
194007,  -0.02,   5.92,   4.98,   3.19,   3.15,   5.68,   1.97,   0.08,   4.39,  -0.52,   4.81,   3.02
194008,   1.34,   7.39,   3.19,   1.42,   1.78,   2.72,  -0.36,  -1.04,   2.90,  -2.29,   2.44,   3.01
194009,   2.53,   3.17,   4.63,  -2.26,   3.34,   4.42,   1.66,  -2.19,   3.32,   4.61,  -0.43,   3.25
194010,  -1.41,   3.94,   7.93,   6.30,  -1.71,   2.27,   1.61,   3.82,   0.08,  -3.00,   6.42,   5.03
194011,  -0.99,  -0.63,   0.74,   0.87,  -4.64,  -4.09,   0.61, -13.06,  -2.15,  -1.82,   0.22,  -0.21
194012,   0.55,  -3.29,   0.51,   2.31,   2.06,   0.35,   2.04,   1.76,   0.43,  -0.23,  -3.18,   1.13
194101,  -0.51,  -9.22,  -7.41,  -2.14,  -6.32,  -2.24,  -2.10,  -2.16,  -3.63,  -2.19,  -1.21,  -1.69
194102,  -2.49,   1.27,  -1.61,  -0.69,  -2.66,  -0.26,  -2.23,  -1.20,  -2.53,  -4.69,  -0.54,  -0.26
194103,   0.56,  -1.70,   0.16,   3.74,   2.03,  -0.21,   1.78,  -3.33,   1.21,   1.77,   0.07,   2.24
194104,  -4.13, -10.57,  -6.97,   1.40,  -3.82,  -8.85,  -6.35,  -9.61,  -5.22,  -5.22,  -7.48,  -3.71
194105,  -1.40,   0.41,   3.74,   5.46,   3.09,  -0.24,   0.40,  -4.43,   2.27,  -1.45,  -2.20,  -0.62
194106,   6.28,   3.90,   6.15,   5.22,   7.44,  10.57,   5.04,   3.94,   5.10,   6.72,   4.07,   4.60
194107,   5.53,   3.97,   7.85,  11.06,   5.67,   1.35,  -0.38,   5.33,   4.74,   8.03,   7.61,   7.51
194108,   0.83,   2.34,  -0.79,  -3.46,  -0.36,   0.85,   1.06,  -2.06,   2.37,   0.08,   0.38,   0.16
194109,   1.78,   4.14,  -3.14,  -0.66,  -2.02,  -1.51,   0.25,  -2.83,   0.43,  -0.21,   0.51,  -3.28
194110,  -7.04,  -7.98,  -6.74,   2.19,  -5.98, -10.76,  -2.72,  -9.66,  -5.20,  -3.69,  -6.00,  -3.69
194111,  -3.15,  -3.64,  -2.27,   3.13,   0.07,  -2.33,  -4.03,  -6.67,  -4.52,  -2.93,  -2.57,  -1.30
194112,  -3.95, -11.79,   1.51, -11.10,   0.14,  -0.78,  -8.59,  -7.48,  -9.83,  -1.59,  -7.50,  -4.87
194201,   2.54,   6.25,   1.29,  -1.63,  -7.70,   2.01,  -1.37,   4.07,   0.66,  -2.99,   5.72,  10.41
194202,  -5.50,   5.15,  -0.87,  -5.83,  -4.98,  -2.54,  -0.57,  -2.45,  -1.92,  -5.35,   0.21,  -2.31
194203,  -8.29,   1.42,  -4.65,  -8.24,  -7.55,  -5.58,  -6.91, -12.13,  -7.09,  -5.54,  -6.24,  -9.58
194204,  -4.10,  -4.37,  -6.37,  -3.57,  -1.37,  -3.39,  -7.32,  -3.42,  -5.88,  -4.45,  -1.67,  -2.09
194205,   8.76,   9.95,   0.72,   6.77,   4.15,   7.71,   7.72,   8.41,  11.75,  14.69,   8.47,   2.42
194206,   3.55,   1.77,   3.04,   4.42,   4.78,   3.75,  -2.23,   1.69,   2.54,   2.85,   2.05,   1.97
194207,   2.42,   2.10,   3.50,   6.05,   1.43,   1.91,   4.48,  -0.43,   4.96,   1.60,   5.45,   6.84
194208,   0.80,   2.33,   1.22,   3.54,   0.97,   1.82,   2.49,   0.79,   1.71,   2.43,   1.87,   2.54
194209,  -0.07,   2.59,   2.86,   2.36,   4.35,   4.58,   2.04,   5.83,   0.67,   0.26,   2.21,   3.64
194210,   4.51,   5.82,   6.55,   9.62,   6.59,   7.04,   6.19,  15.13,   0.62,   4.13,   9.26,   8.83
194211,   2.71,  -0.14,  -3.69,   0.91,   0.44,   1.49,   2.63,  -1.30,   6.66,   1.58,   2.82,  -3.13
194212,   4.72,   8.19,   5.18,   7.49,   5.34,   6.43,   0.35,   4.36,   2.73,   8.69,   5.18,   4.27
194301,   9.14,   5.24,   8.31,   6.40,   4.71,  10.90,   3.78,  14.69,   6.92,   2.47,   6.62,   7.16
194302,   3.62,   7.58,   6.20,   7.91,   2.90,   4.68,   8.81,   7.87,   3.08,   3.64,   9.26,   9.52
194303,   4.36,   5.06,   8.30,   7.00,   2.43,   7.42,   0.62,   4.68,   8.68,   4.56,   9.64,  10.19
194304,   1.03,   0.53,  -1.78,   0.97,  -0.62,   1.25,   4.16,   4.01,   1.87,   1.40,   1.52,   2.34
194305,   6.56,   6.58,   4.66,   5.69,   6.48,   6.54,   4.57,   4.49,   7.49,   5.13,   8.59,   4.90
